"timestamp","hook_type","tool","filepath","status","message"
"2026-02-23 23:59:04","PreToolUse","Read","llms.txt","allowed","检查通过"
"2026-02-23 23:59:16","PreToolUse","Edit","test_sensitive.txt","allowed","检查通过"
"2026-02-24 00:01:21","PreToolUse","","","warning","未指定文件路径"
"2026-02-24 00:01:22","PostToolUse","","","skipped","未指定文件路径"
"2026-02-24 00:01:52","PreToolUse","","","warning","未指定文件路径"
"2026-02-24 00:01:53","PostToolUse","","","skipped","未指定文件路径"
"2026-02-24 00:02:15","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:02:15","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:02:43","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:02:43","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:02:51","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:02:59","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:03:07","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:03:08","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:03:25","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:03:25","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:03:30","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:03:31","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:03:38","PreToolUse","Write","test_data.csv","allowed","检查通过"
"2026-02-24 00:03:44","PostToolUse","Write","test_data.csv","analyzed","3 cols, 4 rows"
"2026-02-24 00:04:03","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:04:20","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:04:21","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:04:31","PreToolUse","Read","D:/GitHub/kongdd/hooks/hooks/pre_tool_use.R","allowed","检查通过"
"2026-02-24 00:04:44","PreToolUse","Read","D:/GitHub/kongdd/hooks/llms.txt","allowed","检查通过"
"2026-02-24 00:04:50","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:04:50","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:05:04","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:05:05","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:05:19","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:05:19","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:08:10","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:08:11","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:08:40","PreToolUse","Write","example_analysis.R","allowed","检查通过"
"2026-02-24 00:08:48","PostToolUse","Write","example_analysis.R","formatted","格式化完成"
"2026-02-24 00:10:29","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:10:30","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:11:54","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:11:55","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:12:17","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:12:18","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:12:45","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:12:46","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:13:10","PreToolUse","Unknown","","warning","未指定文件路径"
"2026-02-24 00:13:11","PostToolUse","Unknown","","skipped","未指定文件路径"
"2026-02-24 00:13:24","PreToolUse","Write","example_analysis.R","allowed","检查通过"
